 0.000000000000000e+000, 3.000000000000000e+000, 0.000000000000000e+000, 3.000000000000000e+000
 5.000000000000000e-002, 8.212647080037534e+001, 5.000000000000000e-002, 7.680958264512303e+001
 1.000000000000000e-001, 9.347711861563617e+001, 1.000000000000000e-001, 9.275743517894527e+001
 1.500000000000000e-001, 9.723355048479105e+001, 1.500000000000000e-001, 9.980879911152663e+001
 2.000000000000000e-001, 9.837999228322531e+001, 2.000000000000000e-001, 1.028942063747778e+002
 2.500000000000000e-001, 9.836939319443296e+001, 2.500000000000000e-001, 1.038834752613038e+002
 3.000000000000000e-001, 9.783501807632621e+001, 3.000000000000000e-001, 1.037548199262040e+002
 3.500000000000000e-001, 9.706243751555132e+001, 3.500000000000000e-001, 1.030310572709239e+002
 4.000000000000000e-001, 9.618076706596570e+001, 4.000000000000000e-001, 1.019919894507080e+002
 4.500000000000000e-001, 9.524844234304780e+001, 4.500000000000000e-001, 1.007873914966171e+002
 5.000000000000000e-001, 9.429196397762131e+001, 5.000000000000000e-001, 9.949745346264083e+001
 5.500000000000000e-001, 9.332341418628691e+001, 5.500000000000000e-001, 9.816512244097949e+001
 6.000000000000000e-001, 9.234836313567671e+001, 6.000000000000000e-001, 9.681341585920234e+001
 6.500000000000000e-001, 9.136943929632990e+001, 6.500000000000000e-001, 9.545468550614018e+001
 7.000000000000000e-001, 9.038794179699254e+001, 7.000000000000000e-001, 9.409557636653138e+001
 7.500000000000000e-001, 8.940456847694992e+001, 7.500000000000000e-001, 9.273967906053717e+001
 8.000000000000000e-001, 8.841974495297563e+001, 8.000000000000000e-001, 9.138895140461848e+001
 8.500000000000000e-001, 8.743377275134850e+001, 8.500000000000000e-001, 9.004447714193761e+001
 9.000000000000000e-001, 8.644689664205899e+001, 9.000000000000000e-001, 8.870687341661832e+001
 9.500000000000000e-001, 8.545933489219993e+001, 9.500000000000000e-001, 8.737650834425153e+001
 1.000000000000000e+000, 8.447129309065254e+001, 1.000000000000000e+000, 8.605361748505699e+001
 1.050000000000000e+000, 8.348297026837848e+001, 1.050000000000000e+000, 8.473836645495598e+001
