7.20E-02,1500,NaN,NaN
0.11,760,NaN,NaN
0.15,650,NaN,NaN
0.56,620,NaN,NaN
1.008,550,NaN,NaN
1.992,500,NaN,NaN
4.008,490,NaN,NaN
6,400,NaN,NaN
7.992,370,NaN,NaN
10.008,320,NaN,NaN
11.496,300,NaN,NaN
13.008,225,NaN,NaN
16.008,180,NaN,NaN
17.496,110,NaN,NaN
19.992,88,NaN,NaN
22.512,32,NaN,NaN
24,20.5,NaN,NaN
27,5,NaN,NaN
