 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.000000000000000e-001, 3.022747644968032e+000, 1.540123534019646e+001, 3.126040038649060e+001, 4.734207347008969e+001, 6.354704243895191e+001
 2.000000000000000e-001, 5.691484547590342e+000, 2.955716697736732e+001, 6.056922588462544e+001, 9.211441149361058e+001, 1.239117431685808e+002
 3.000000000000000e-001, 8.177361144213796e+000, 4.333048182949196e+001, 8.949130996268958e+001, 1.365015567163014e+002, 1.838782914510624e+002
 4.000000000000000e-001, 1.050812020842066e+001, 5.682694940757300e+001, 1.181373729126906e+002, 1.806000944729300e+002, 2.435298267538954e+002
 5.000000000000000e-001, 1.270523213654956e+001, 7.010963686780804e+001, 1.465656327695972e+002, 2.244582886765722e+002, 3.029068198846199e+002
 6.000000000000000e-001, 1.478570546604135e+001, 8.321920327463592e+001, 1.748104069777281e+002, 2.681036474115792e+002, 3.620319976469884e+002
 7.000000000000000e-001, 1.676326489121965e+001, 9.618338844971302e+001, 2.028936180435476e+002, 3.115533518012832e+002, 4.209194207738527e+002
 8.000000000000000e-001, 1.864916371932443e+001, 1.090219964198341e+002, 2.308301630398057e+002, 3.548189112016768e+002, 4.795784397105351e+002
 9.000000000000000e-001, 2.045275928446454e+001, 1.217496691720884e+002, 2.586306487339051e+002, 3.979084495688712e+002, 5.380156002517066e+002
 1.000000000000000e+000, 2.218192671073947e+001, 1.343775610552319e+002, 2.863029315459567e+002, 4.408279511763874e+002, 5.962356587403629e+002
 1.100000000000000e+000, 2.384336414315817e+001, 1.469143791957375e+002, 3.138530194239748e+002, 4.835820070068865e+002, 6.542421305996471e+002
 1.200000000000000e+000, 2.544282452935278e+001, 1.593670638064565e+002, 3.412856207494220e+002, 5.261741876854128e+002, 7.120376201042656e+002
 1.300000000000000e+000, 2.698529011388857e+001, 1.717412395460763e+002, 3.686045132372229e+002, 5.686073666105117e+002, 7.696240031172512e+002
 1.400000000000000e+000, 2.847510970692490e+001, 1.840415391218204e+002, 3.958128036094693e+002, 6.108838766610163e+002, 8.270025526671248e+002
 1.500000000000000e+000, 2.991610465077140e+001, 1.962718329922384e+002, 4.229130700120335e+002, 6.530056447005617e+002, 8.841739754345163e+002
 1.600000000000000e+000, 3.131165465830509e+001, 2.084353909197565e+002, 4.499074939447810e+002, 6.949742606636497e+002, 9.411384576902033e+002
 1.700000000000000e+000, 3.266476539615414e+001, 2.205350060437559e+002, 4.767979451497434e+002, 7.367910492127367e+002, 9.978956530332692e+002
 1.800000000000000e+000, 3.397812437044258e+001, 2.325730869615953e+002, 5.035860466730012e+002, 7.784570964535747e+002, 1.054444678656101e+003
 1.900000000000000e+000, 3.525414503373784e+001, 2.445517328692340e+002, 5.302732176474789e+002, 8.199732900706869e+002, 1.110784080779080e+003
 2.000000000000000e+000, 3.649500549678893e+001, 2.564727816435055e+002, 5.568607106982742e+002, 8.613403223189876e+002, 1.166911806517277e+003
 2.100000000000000e+000, 3.770267908740686e+001, 2.683378530331507e+002, 5.833496432644050e+002, 9.025587011527985e+002, 1.222825157846461e+003
 2.200000000000000e+000, 3.887896162583388e+001, 2.801483889331537e+002, 6.097410195647098e+002, 9.436287786258017e+002, 1.278520746439863e+003
 2.300000000000000e+000, 4.002549033082759e+001, 2.919056830022172e+002, 6.360357468159341e+002, 9.845507515139402e+002, 1.333994448283415e+003
 2.400000000000000e+000, 4.114376377385214e+001, 3.036108999850808e+002, 6.622346485089752e+002, 1.025324642565161e+003, 1.389241351913846e+003
