 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.000000000000000e-001, 3.416210491389522e-003, 1.000000000000000e-001, 3.115762376074640e-003, 1.000000000000000e-001, 2.759242139571808e-003
 2.000000000000000e-001, 6.933783870177444e-003, 2.000000000000000e-001, 6.300365996707158e-003, 2.000000000000000e-001, 5.552657264617738e-003
 3.000000000000000e-001, 1.064257674054537e-002, 3.000000000000000e-001, 9.614809664630667e-003, 3.000000000000000e-001, 8.410509154227384e-003
 4.000000000000000e-001, 1.462092138068155e-002, 4.000000000000000e-001, 1.311223057267107e-002, 4.000000000000000e-001, 1.135913635144865e-002
 5.000000000000000e-001, 1.893723140517217e-002, 5.000000000000000e-001, 1.683899307515565e-002, 5.000000000000000e-001, 1.442151067581315e-002
 6.000000000000000e-001, 2.365108721342765e-002, 6.000000000000000e-001, 2.083542701233544e-002, 6.000000000000000e-001, 1.761754780921490e-002
 7.000000000000000e-001, 2.881383201148235e-002, 7.000000000000000e-001, 2.513623277970565e-002, 7.000000000000000e-001, 2.096442238927892e-002
 8.000000000000000e-001, 3.446959774352743e-002, 8.000000000000000e-001, 2.977111425112538e-002, 8.000000000000000e-001, 2.447680376407038e-002
 9.000000000000000e-001, 4.065587891955099e-002, 9.000000000000000e-001, 3.476541758302598e-002, 9.000000000000000e-001, 2.816707385944519e-002
 1.000000000000000e+000, 4.740434818599720e-002, 1.000000000000000e+000, 4.014037670852520e-002, 1.000000000000000e+000, 3.204564014543462e-002
 1.100000000000000e+000, 5.474128915629838e-002, 1.100000000000000e+000, 4.591362781932182e-002, 1.100000000000000e+000, 3.612106885827261e-002
 1.200000000000000e+000, 6.268817132276726e-002, 1.200000000000000e+000, 5.209932317193238e-002, 1.200000000000000e+000, 4.040031056549445e-002
 1.300000000000000e+000, 7.126217520221587e-002, 1.300000000000000e+000, 5.870869792914628e-002, 1.300000000000000e+000, 4.488875345698914e-002
 1.400000000000000e+000, 8.047634954081713e-002, 1.400000000000000e+000, 6.575043841756335e-002, 1.400000000000000e+000, 4.959047842331215e-002
 1.500000000000000e+000, 9.034048352648337e-002, 1.500000000000000e+000, 7.323082078405127e-002, 1.500000000000000e+000, 5.450843313036314e-002
 1.600000000000000e+000, 1.008613020860717e-001, 1.600000000000000e+000, 8.115402290177726e-002, 1.600000000000000e+000, 5.964449511601670e-002
 1.700000000000000e+000, 1.120427121403733e-001, 1.700000000000000e+000, 8.952233070930984e-002, 1.700000000000000e+000, 6.499959000262529e-002
 1.800000000000000e+000, 1.238861403104159e-001, 1.800000000000000e+000, 9.833634425999041e-002, 1.800000000000000e+000, 7.057381166260286e-002
 1.900000000000000e+000, 1.363908479998219e-001, 1.900000000000000e+000, 1.075951845061959e-001, 1.900000000000000e+000, 7.636652394881606e-002
 2.000000000000000e+000, 1.495541652946080e-001, 2.000000000000000e+000, 1.172966734003934e-001, 2.000000000000000e+000, 8.237644588861992e-002
 2.100000000000000e+000, 1.633717502688881e-001, 2.100000000000000e+000, 1.274374887758008e-001, 2.100000000000000e+000, 8.860172793870046e-002
 2.200000000000000e+000, 1.778378134739572e-001, 2.200000000000000e+000, 1.380133034444805e-001, 2.200000000000000e+000, 9.504002306715521e-002
 2.300000000000000e+000, 1.929452656352782e-001, 2.300000000000000e+000, 1.490189135997966e-001, 2.300000000000000e+000, 1.016885526196714e-001
 2.400000000000000e+000, 2.086858573914521e-001, 2.400000000000000e+000, 1.604483569100622e-001, 2.400000000000000e+000, 1.085441604936213e-001
 2.500000000000000e+000, 2.250503519782487e-001, 2.500000000000000e+000, 1.722950196191729e-001, 2.500000000000000e+000, 1.156033760098124e-001
 2.600000000000000e+000, 2.420286918598062e-001, 2.600000000000000e+000, 1.845517328993047e-001, 2.600000000000000e+000, 1.228624678024391e-001
 2.700000000000000e+000, 2.596101272729142e-001, 2.700000000000000e+000, 1.972108595049854e-001, 2.700000000000000e+000, 1.303174784196742e-001
 2.800000000000000e+000, 2.777833169547039e-001, 2.800000000000000e+000, 2.102643718581270e-001, 2.800000000000000e+000, 1.379642560140750e-001
 2.900000000000000e+000, 2.965364237560316e-001, 2.900000000000000e+000, 2.237039224244856e-001, 2.900000000000000e+000, 1.457984933691391e-001
 3.000000000000000e+000, 3.158572105358547e-001, 3.000000000000000e+000, 2.375209070225119e-001, 3.000000000000000e+000, 1.538157658634828e-001
 3.100000000000000e+000, 3.357331279095903e-001, 3.100000000000000e+000, 2.517065216297508e-001, 3.100000000000000e+000, 1.620115607683135e-001
 3.200000000000000e+000, 3.561513885248591e-001, 3.200000000000000e+000, 2.662518132409811e-001, 3.200000000000000e+000, 1.703812998383310e-001
 3.300000000000000e+000, 3.770990308780695e-001, 3.300000000000000e+000, 2.811477253128714e-001, 3.300000000000000e+000, 1.789203603853623e-001
 3.400000000000000e+000, 3.985629774681138e-001, 3.400000000000000e+000, 2.963851382879840e-001, 3.400000000000000e+000, 1.876240962855659e-001
 3.500000000000000e+000, 4.205300884538028e-001, 3.500000000000000e+000, 3.119549056424656e-001, 3.500000000000000e+000, 1.964878571006764e-001
 3.600000000000000e+000, 4.429872095007008e-001, 3.600000000000000e+000, 3.278478858596889e-001, 3.600000000000000e+000, 2.055070040441664e-001
 3.700000000000000e+000, 4.659212132936613e-001, 3.700000000000000e+000, 3.440549706980504e-001, 3.700000000000000e+000, 2.146769234211741e-001
