ModelUrineTime,ModelUrine,DataUrineTime,DataUrine,ModelFecesTime,ModelFeces,DataFecesTime,DataFeces
8.971242088,1.034515743,7.01754386,0.978693958,18.03118908,1.075191904,23.39181287,1.986166124
9.234801527,1.207588148,11.11111111,2.259330453,22.21510393,1.23246448,47.36842105,2.963497132
9.761920407,1.598400054,23.39181287,5.405030874,27.15684342,1.453134571,71.34502924,3.298103343
9.761920407,1.405075197,47.36842105,11.95073382,32.44565847,1.644996229,96.49122807,3.723309466
9.987828498,1.928696077,71.34502924,16.24840904,37.46851523,1.8648244,119.8830409,4.263971272
12.13395536,2.356843725,95.90643275,20.27481994,43.96697111,2.107187635,143.8596491,4.74541303
12.92463368,2.642495136,119.8830409,24.06395823,50.87719298,2.379842712,167.8362573,5.243583361
15.29666864,2.953179013,143.8596491,27.16676922,58.78397617,2.672844846,191.8128655,6.004962303
16.87802528,3.472273278,167.8362573,29.38159592,67.21787824,2.958197381,215.7894737,6.635359287
18.61751758,4.012167959,191.8128655,31.77699092,75.71213371,3.279122948,239.7660819,7.598826916
20.04073855,4.595861158,215.7894737,33.16058685,84.68330627,3.571059153,263.7426901,7.929685996
23.04531616,5.269463543,239.7660819,35.10288616,93.98558819,3.874173782,287.7192982,8.215988789
26.3661651,6.053465338,263.7426901,36.89417926,102.6994765,4.147275762,311.6959064,8.697220002
29.68701404,6.853987374,287.7192982,38.22625049,112.7724117,4.442508335,336.2573099,9.140973649
34.27294829,7.776528414,311.6959064,39.6064164,123.2488994,4.752509727,383.625731,9.883454551
39.80769652,8.996864618,335.6725146,40.74401348,132.9347088,5.025139775,431.5789474,11.23469238
45.90721498,10.41102907,383.625731,41.90230967,143.3865563,5.30960892,480.1169591,11.30877449
52.45854962,11.98186413,431.5789474,43.09353462,152.3099259,5.547763178,528.0701754,11.63026737
60.36533281,13.66435391,480.1169591,44.95670009,161.7980657,5.857005178,576.0233918,11.96089985
69.06279431,15.36849125,527.4853801,46.901074,171.9639298,6.077326533,623.9766082,12.30093176
78.55093414,17.17394146,576.0233918,48.58022325,181.5449986,6.331348757,,
88.03907396,19.03748623,623.9766082,49.96129208,190.8272554,6.590216606,,
97.52721379,20.3026838,,,200.3153952,6.778617307,,
107.0153536,22.32512788,,,209.2187397,7.052409984,,
116.5034934,23.80881628,,,219.2916749,7.216656437,,
125.9916333,25.39110798,,,228.7798147,7.452181083,,
135.4797731,26.77483069,,,237.6831592,7.659675655,,
144.9679129,28.18850155,,,247.7560944,7.832127014,,
154.4560527,29.53369429,,,256.2805265,7.995508247,,
163.9441926,30.79385695,,,265.9416957,8.17336533,,
173.4323324,32.05609208,,,275.0509232,8.342462357,,
182.9204722,33.37006603,,,284.5590881,8.558267725,,
192.408612,34.5703744,,,294.8755576,8.711968426,,
201.8967519,35.75619327,,,303.3258865,8.949894853,,
211.3848917,36.80433688,,,314.1730731,9.191330478,,
220.8730315,37.88320537,,,325.2754233,9.305798901,,
230.3611713,38.9309154,,,336.199112,9.502561936,,
239.8493112,39.94318472,,,346.1791182,9.622726707,,
249.337451,41.04786619,,,355.2883457,9.75436543,,
258.8255908,41.84459446,,,364.7764855,9.911700052,,
268.3137306,42.86349824,,,373.0750096,9.935847596,,
277.8018705,43.69546744,,,383.4892057,10.13449645,,
287.2900103,44.54358495,,,393.6198173,10.29174043,,
296.7781501,45.4081642,,,402.7290448,10.44830641,,
306.2662899,46.28952471,,,412.2171847,10.59973983,,
315.7544298,47.18799218,,,422.2700947,10.77907085,,
325.2425696,47.94911857,,,431.1215845,10.86100727,,
334.7307094,48.80109664,,,440.6816041,11.11738457,,
344.2188492,49.34910024,,,450.169744,11.10180665,,
353.7069891,50.14508458,,,459.6578838,11.19034996,,
363.1951289,51.0360814,,,469.1460236,11.33425946,,
372.6832687,51.4431236,,,478.5622836,11.39326989,,
382.1714085,52.18871891,,,488.1223033,11.51577495,,
391.6595484,52.85987327,,,497.6104431,11.64508938,,
401.1476882,53.28146127,,,507.0985829,11.75689555,,
410.635828,54.22818642,,,516.5867227,11.79351319,,
420.1239678,54.74883897,,,525.7057068,11.86155777,,
429.6121077,55.27449038,,,535.1676632,12.00781933,,
439.1002475,55.80518864,,,545.0511422,12.13647869,,
448.5883873,56.34098222,,,554.539282,12.21357723,,
458.0765271,57.15756506,,,564.0274219,12.37139658,,
467.564667,57.42805145,,,573.4277085,12.37532727,,
477.0528068,58.26038982,,,583.0037015,12.44407402,,
486.5409466,58.5360951,,,592.4918413,12.56733734,,
496.0290864,59.00295424,,,601.9799812,12.66756911,,
505.5172263,59.66551787,,,611.468121,12.67838881,,
515.0053661,59.75498311,,,620.9762859,12.8185827,,
524.4935059,60.81673225,,,630.8397398,12.83527484,,
533.9816457,60.80985542,,,639.9325405,12.95073378,,
543.4697856,61.39369951,,,647.8393237,13.05426939,,
552.9579254,61.8833497,,,,,,
562.4460652,61.97614046,,,,,,
571.9342051,62.67209097,,,,,,
581.4223449,63.17193706,,,,,,
590.9104847,63.16479392,,,,,,
600.3986245,63.97710217,,,,,,
609.8867644,64.38352496,,,,,,
619.3749042,64.37624482,,,,,,
628.863044,64.47277354,,,,,,
638.3511838,65.3019026,,,,,,
647.0486453,65.61154868,,,,,,
