time_blood_sim,blood_sim,time_fat_sim,fat_sim,time_blood_data,blood_data,time_fat_data,fat_data
0.420085262,18.1724811,0.308035132,22.31901555,1.064571061,26.7164188,1.078399532,252.9696037
0.610602092,23.79956601,0.349520547,40.82053206,1.065677338,31.98022025,1.098707631,318.776832
1.330314776,33.23669656,0.410049743,76.60196114,1.066467537,36.36381638,1.100209007,406.8965063
1.841178028,38.77604037,0.488042323,114.0729586,3.092299122,82.73946183,3.037459354,2395.291856
2.673414961,47.62382435,0.641577868,169.8734562,3.105495435,32.81247967,3.070173567,1052.725644
3.505256795,54.85182401,0.832568816,240.2996499,3.109762506,65.65900267,3.09293128,1975.497251
4.412483554,61.5744128,1.346118743,433.8883244,5.05309738,48.23953006,5.039505968,2457.627393
5.319552274,67.3677252,1.725730045,590.5670021,5.056732293,87.10195323,5.040533226,2904.293122
6.01848274,69.12091586,2.16176151,773.4352986,5.073247439,59.24666069,5.041560484,3432.138884
6.395249327,59.24666069,2.616520678,987.2364904,6.075139964,69.12091586,6.024725307,4108.355925
6.752735074,47.62382435,3.165313452,1181.746725,6.092287269,52.10457666,6.025910605,4981.384553
7.280508572,40.29951881,3.865271176,1432.868765,6.412238592,43.528396,6.04266281,3521.457527
7.846211591,34.98912279,4.621807105,1715.179682,6.428358639,27.76608471,6.399674438,2620.656149
8.54427284,31.16907036,5.340413511,2001.037512,6.429860016,35.44148046,6.400543656,3018.400388
9.1292567,28.85699113,6.153527643,2364.719526,7.058620867,87.10195323,6.401886994,3755.05634
9.733126301,26.7164188,6.927922055,2395.291856,7.07632131,71.83661927,7.114645932,1693.28797
10.39373215,25.05441345,7.683035626,2275.323937,7.112591416,56.27929844,7.119782221,3902.589387
11.12972292,22.89984991,8.570270366,2133.777999,8.090145831,27.06182263,7.121994777,5591.898435
11.77120596,20.66342135,9.3439536,1925.390517,8.091489168,33.66639796,8.06138261,2521.585161
12.45061853,19.13063687,10.13668061,1782.567668,8.092911525,42.42433688,8.062963007,3260.240599
13.2240647,16.60973188,10.98582779,1587.949987,10.05552724,33.23669656,10.0446225,2620.656149
14.16756157,14.607457,11.9294827,1432.868765,10.09029597,20.39968357,10.04588682,3218.628487
14.88435052,12.68258584,12.72205167,1292.932973,10.09179735,26.03878056,12.10364242,2830.628306
15.65755963,10.59508884,13.49565588,1151.772768,12.03568536,20.93056887,12.12023659,1950.282972
16.37411152,8.851184523,14.45819653,1039.28917,12.07472116,25.70643433,12.12142188,2364.719526
17.09050537,7.206768735,15.32615043,914.0046308,12.08799649,10.32635382,14.08214112,1361.103696
17.84459168,5.792965957,16.25076155,803.8229295,14.04847867,5.71902738,14.08316838,1608.479835
18.48536355,4.656518866,17.08078593,688.9929591,14.05084927,8.407873956,16.04388762,925.8213607
19.06947819,3.743016636,17.92961703,583.0292945,14.08182504,2.785539649,16.04586311,1276.43061
19.57789183,2.93240902,18.96706848,474.7112977,16.0430184,1.731784004,16.04712743,1567.682172
20.16169039,2.239080641,19.81566252,386.5171412,16.04562605,2.646026213,19.98990126,773.4352986
20.65113927,1.731784004,20.75876429,318.776832,16.0713075,7.986766548,20.06141422,401.7030788
21.27278833,1.339422878,21.8143903,231.2153892,20.00689053,1.224238713,20.07713917,240.2996499
21.9135602,1.076658822,22.92659452,165.5647669,20.03596983,0.297987501,24.05981802,167.7052747
22.59202453,0.854396957,23.98214152,118.5547905,20.03778729,0.400415112,24.06131939,214.0641462
23.2893746,0.678018093,,,24.05744742,0.245762739,24.06266273,266.3075889
23.98672467,0.538050294,,,24.07064374,0.097463589,,
,,,,24.07380453,0.16292751,,
