time_blood_sim,blood_sim,time_fat_sim,fat_sim,time_blood_data,blood_data,time_fat_data,fat_data
0.314967916,0.587349647,0.226280691,0.764116171,1.055066475,0.821378803,1.015876433,6.351042224
0.73778976,0.746281438,0.242909546,1.293406796,1.073413187,0.566903705,1.068351235,7.971864873
1.513619742,0.821604096,0.294972062,2.013522345,2.060150187,0.915288063,1.085300757,11.41322784
2.536454641,0.862397498,0.452533896,3.706230652,2.060470853,0.774159788,2.054423997,18.20780568
3.435878701,0.883752621,0.698393575,6.426245935,2.060883139,0.624200659,2.055042425,13.18250759
4.546928663,0.912429714,0.997438103,9.652913016,4.088183321,1.008423602,2.073686899,7.788098656
5.405556281,0.919629619,1.367258335,12.865592,4.088481082,0.86319837,4.04745866,17.37785065
5.857304851,0.919878117,1.790057273,16.54361831,4.088870463,0.704367038,4.065645038,13.04143735
6.068230264,0.695636029,2.283471583,20.5241488,5.075699082,1.084097469,5.069858368,22.89507857
6.171119161,0.392459109,2.882751686,24.86209347,5.075951034,0.950441824,5.106139506,13.52633482
6.366015752,0.24617709,3.482077599,29.40496296,5.076202987,0.833264246,6.021848849,28.07379322
6.701707893,0.180413857,4.257793058,34.36802604,6.063191938,1.179474236,6.02228404,22.36659692
7.337223325,0.132242188,4.963099289,37.38534748,6.063741653,0.885142669,6.022627611,18.69295336
8.007851751,0.105400559,5.668497139,38.76761264,6.259943815,0.280777912,6.286765287,23.18745174
8.713799315,0.082022947,6.250575768,37.41414552,6.313953235,0.158134387,6.304768427,19.14876706
9.313812371,0.067760146,6.76229098,32.81148504,6.331269233,0.186964042,7.098716074,16.39889438
9.984349178,0.056653458,7.397577364,27.10653547,7.019488514,0.152624818,7.09908255,13.54246684
11.11378282,0.039598216,8.032817938,22.9356862,7.039026273,0.056553749,7.099494836,10.91921442
11.92550456,0.031563501,8.721037219,18.72314532,7.055952889,0.08194166,8.068480647,18.71583953
12.73727211,0.02456434,9.4092565,15.28431142,8.044613889,0.048438438,8.068778409,16.02053159
13.61960922,0.018890722,10.2386149,12.18316138,8.04495746,0.040482576,8.06912198,13.38920941
14.4666501,0.014702042,11.35034317,8.826509996,8.045255222,0.034652594,10.07997655,11.61287019
15.31369098,0.011442127,12.51502724,6.243702219,10.03840441,0.031153023,10.08032012,9.705492601
16.19600518,0.008905228,13.53852638,4.632739668,10.0388396,0.024819842,10.08054916,8.61131727
17.11366143,0.006686642,14.49143305,3.520504347,10.04007646,0.013010077,14.04953154,5.886629855
18.45480376,0.004509494,15.37377016,2.707374593,13.99210931,0.006211957,14.06792406,3.966824022
19.51362203,0.003266955,16.18546899,2.184000264,14.02589383,0.013517599,14.06872573,2.609906572
20.64300987,0.00233874,17.0677832,1.699773092,14.02630612,0.010899163,18.01924687,2.74429182
21.49007365,0.001798524,18.3736522,1.146308638,18.03120315,0.005330219,18.01965915,2.212706974
22.76053189,0.001303126,19.4677438,0.830473932,18.03214225,0.003264061,18.02073568,1.261154634
23.87228307,0.000932869,20.63240497,0.594530266,18.03319587,0.001882771,24.03504428,1.136520442
,,21.69117743,0.441142444,24.01161271,0.002343456,24.03584595,0.747754918
,,22.82054236,0.319604176,24.02966166,0.001889536,24.05185637,1.748214046
,,24.00286309,0.226084189,24.04787095,0.001401166,,
