time_blood_sim,blood_sim,time_fat_sim,fat_sim,time_blood_data,blood_data,time_fat_data,fat_data
0.471724705,7.090928968,0.369312693,8.80566778,1.109720756,8.99168496,1.094168281,102.9294408
0.669955582,9.451577028,0.43761034,24.13837541,1.113212597,11.29593181,1.096189873,117.4633239
1.273079172,12.27824021,0.479466483,37.18571158,1.124584052,7.50908628,1.157664648,65.20021192
1.874548731,14.31643472,0.5738151,55.91368222,3.159155572,12.7806805,3.12968168,589.15869
2.758857387,17.70487986,0.791871362,86.07252354,3.162463631,15.86427281,3.14362607,463.3448689
3.642247137,20.61945342,1.134186614,140.6241106,3.18284036,18.99371136,3.157386679,360.0490255
4.719273238,23.70788143,1.598739262,213.6688334,5.153892541,16.11444956,5.111760726,1027.366105
5.619364094,25.99984791,2.18608065,313.006295,5.157200601,20.00237967,5.152123648,453.9658009
6.007371919,26.58843817,2.790123145,431.7763606,5.160324879,24.53200641,5.175624655,666.5983037
6.73730446,13.69394798,3.516219255,547.3132979,6.143553706,19.44692929,6.128024204,705.0199637
7.332525462,10.61511296,4.259567816,677.253722,6.146861766,24.13888615,6.130229577,814.2895769
7.875437772,8.532207646,5.143508909,817.6735141,6.148883358,27.54735456,6.133721418,1022.962834
8.594550202,6.852934732,5.920075902,886.478761,6.454281582,12.75717551,6.495471519,595.002762
9.717268875,4.931953354,6.731699137,949.4620868,6.476312341,17.01677633,6.497676892,687.2210323
10.61147874,3.683187199,7.629217058,880.1337012,7.148997072,20.81165171,6.500433609,822.8454436
11.15402348,2.890220732,8.630801021,731.9705506,7.161103651,14.51545773,7.167604907,701.9462773
11.60865195,2.296221761,9.438564853,609.2455204,8.141391981,9.495374246,7.189451884,925.1493473
12.20350539,1.737721593,10.52751375,482.7445062,8.144700041,11.78632135,7.192943725,1162.231994
12.8341502,1.363096519,11.65078377,360.1671258,8.148191881,14.80673342,8.124231422,978.5459395
13.64117891,1.081349767,12.9847588,255.8855174,10.08342972,3.826775708,8.1273557,1200.141966
14.51813632,0.827242354,14.49346371,165.0241173,10.12252915,4.923560078,8.137440688,733.4898961
15.2545012,0.648613827,16.17800117,103.824043,12.06842629,2.553352177,10.14887876,870.8623781
16.20175488,0.490127802,17.54648111,70.2936502,12.07299785,1.088500372,10.16116912,614.7357973
17.18388102,0.361525198,19.19559477,43.70349299,12.09429348,1.383860101,10.16870415,1005.761086
18.4119522,0.25389748,20.44146974,31.06122602,14.0572593,0.692224776,12.13166996,503.0947437
19.49906329,0.1784167,21.86207459,20.03923389,14.07855493,0.880056887,12.14653326,420.1417036
20.69189445,0.125319786,22.96735703,14.59722927,14.08772101,0.506522005,12.15259803,624.430071
22.09524685,0.082821655,23.98453942,10.63703413,16.0567516,0.376566157,14.1021708,411.7286194
23.99012177,0.048441742,,,16.07802426,0.151165625,14.10566264,517.2399198
,,,,16.08188366,0.194519704,14.13097848,270.4139789
,,,,20.08564658,0.078656822,16.11321834,150.6902051
,,,,20.09795992,0.175843863,16.11597506,180.429211
,,,,20.10730978,0.102430567,16.11891555,218.6469706
,,,,24.0600275,0.014750097,20.07808858,151.8022541
,,,,24.06517337,0.020644718,20.10818274,108.4425751
,,,,24.06921655,0.026886502,20.15075103,55.34459147
,,,,,,24.11212944,44.38001071
,,,,,,24.1163564,58.49618403
,,,,,,24.1214793,25.85173901
