Dose,Time,Plasma_Conc_Mean,Plasma_Conc_SD
1,0.5,0,0
1,1,0,0
1,3,0.83,0
1,6,0.88,0.14
1,7,0.75,0.14
1,9,0.67,0.21
1,12,0,0
1,18,0,0
1,24,0,0
1,30,0,0
10,0.5,0.43,0
10,1,1.2,0.18
10,3,2.62,0
10,6,3.68,0.53
10,7,3.69,0.66
10,9,2.54,0
10,12,0.54,0.07
10,18,0,0
10,24,0,0
10,30,0,0
25,0.5,1.33,0
25,1,2.74,0.96
25,3,5.91,0.53
25,6,6.87,2.18
25,7,7.15,1.44
25,9,6.35,0.5
25,12,3.12,0.44
25,18,0,0
25,24,0,0
25,30,0,0
